type,category,name,path,description
agents,accessibility,accessibility-tester,accessibility/accessibility-tester.md,"""Use this agent when conducting comprehensive accessibility audits, WCAG 2.2 compliance assessments, or evaluating UI components and full codebases for barriers that affect users with disabilities. Invoke when you need structured findings mapped to specific WCAG criteria, hybrid automated-plus-manua"
agents,ai-specialists,ai-ethics-advisor,ai-specialists/ai-ethics-advisor.md,"AI ethics and responsible AI development specialist. Use when reviewing an AI system for bias, fairness violations, or regulatory compliance gaps; when generating a model card, algorithmic impact assessment, or ethics review document; or when an AI feature touches a protected class or high-stakes do"
agents,ai-specialists,hackathon-ai-strategist,ai-specialists/hackathon-ai-strategist.md,"""Use when a team needs strategic guidance at any stage of a hackathon — from initial ideation through pitch delivery. Specifically:\n\n<example>\nContext: A team of four arrives at a 24-hour AI hackathon with no idea, a vague interest in healthcare, and two hours before the kick-off presentation dea"
agents,ai-specialists,llm-architect,ai-specialists/llm-architect.md,"""Use when designing LLM systems for production, implementing fine-tuning or RAG architectures, optimizing inference serving infrastructure, or managing multi-model deployments. Specifically:\\n\\n<example>\\nContext: A startup needs to deploy a custom LLM application with sub-200ms latency, fine-tun"
agents,ai-specialists,llms-maintainer,ai-specialists/llms-maintainer.md,"LLMs.txt roadmap file generator and maintainer for AI Engine Optimization (AEO). Use after build completion, content changes, or when setting up AI crawler navigation for a site. Detects framework, scans site structure, and writes a spec-compliant llms.txt file."
agents,ai-specialists,model-evaluator,ai-specialists/model-evaluator.md,"""AI model evaluation and benchmarking specialist. Use when selecting the right model for a specific task, designing evaluation benchmarks from scratch, or running post-deployment regression testing. Specifically:\n\n<example>\nContext: A product team needs to choose between Claude Sonnet, GPT-4o, an"
agents,ai-specialists,prompt-engineer,ai-specialists/prompt-engineer.md,"""Use this agent when you need to design, optimize, test, or evaluate prompts for Claude (or other LLMs) in production systems. Specifically:\n\n<example>\nContext: You're building a customer support chatbot and need to create high-quality prompts that balance accuracy, cost, and response speed.\nuse"
agents,ai-specialists,search-specialist,ai-specialists/search-specialist.md,"""Expert web researcher using advanced search techniques, multi-source synthesis, and iterative retrieval. Masters search operators, domain filtering, credibility evaluation, and structured reporting. Use PROACTIVELY for deep research, competitive intelligence, fact-checking, or trend analysis. Speci"
agents,ai-specialists,task-decomposition-expert,ai-specialists/task-decomposition-expert.md,"""Use this agent when you need to break down a complex, multi-step goal into an actionable work breakdown structure with dependencies, parallelism opportunities, effort estimates, and a clear handoff plan to specialist agents. Specifically:\n\n<example>\nContext: A team wants to migrate a monolithic "
agents,api-graphql,api-architect,api-graphql/api-architect.md,"Expert API architect for designing and implementing REST and GraphQL APIs with production-grade resilience, security, and versioning. Use this agent when you need to: design a GraphQL schema with federation for a new microservice, build a resilient REST client with circuit breaker and bulkhead patte"
agents,api-graphql,api-designer,api-graphql/api-designer.md,"""Use this agent when designing new APIs, creating API specifications, or refactoring existing API architecture for scalability and developer experience. Invoke when you need REST/GraphQL/gRPC endpoint design, OpenAPI 3.1 documentation, authentication patterns, API versioning strategies, or protocol "
agents,api-graphql,graphql-architect,api-graphql/graphql-architect.md,"""Use this agent when designing or evolving GraphQL schemas across microservices, implementing federation architectures, or optimizing query performance in distributed graphs. Specifically:\n\n<example>\nContext: A team is building a multi-service architecture and needs to design a federated GraphQL "
agents,api-graphql,graphql-performance-optimizer,api-graphql/graphql-performance-optimizer.md,"""GraphQL performance analysis and optimization specialist. Use PROACTIVELY for query performance issues, N+1 problems, caching strategies, and production GraphQL API optimization. Specifically:\n\n<example>\nContext: An existing resolver file is causing visible slowdowns when loading lists of users "
agents,api-graphql,graphql-security-specialist,api-graphql/graphql-security-specialist.md,"""GraphQL API security and authorization specialist. Use PROACTIVELY for GraphQL security audits, authorization implementation, query validation, and protection against GraphQL-specific attacks."
agents,api-graphql,shopify-expert,api-graphql/shopify-expert.md,"""Use this agent when building or customizing Shopify themes, developing Shopify apps, working with Liquid templating, or integrating Shopify APIs (Admin GraphQL, Storefront, Functions, Checkout Extensibility). Use PROACTIVELY for Online Store 2.0 section/block work, app architecture decisions, and h"
agents,blockchain-web3,blockchain-developer,blockchain-web3/blockchain-developer.md,"""Use this agent when building smart contracts, DApps, and blockchain protocols that require expertise in Solidity, gas optimization, security auditing, and Web3 integration. Specifically:\n\n<example>\nContext: A team is building a DeFi protocol and needs to implement smart contracts for an AMM with"
agents,blockchain-web3,smart-contract-auditor,blockchain-web3/smart-contract-auditor.md,"Use this agent when conducting security audits of smart contracts. Specializes in vulnerability detection, attack vector analysis, and comprehensive security assessments. Examples: <example>Context: User needs to audit a DeFi protocol user: 'Can you audit my yield farming contract for security issue"
agents,blockchain-web3,smart-contract-specialist,blockchain-web3/smart-contract-specialist.md,"Use this agent for smart contract architecture and design-pattern advisory work — choosing proxy/upgrade patterns, designing storage layouts, defining module boundaries, and selecting token/protocol standards — rather than day-to-day implementation or security auditing. Examples: <example>Context: U"
agents,blockchain-web3,web3-integration-specialist,blockchain-web3/web3-integration-specialist.md,"Use this agent when building Web3 frontend applications and wallet integrations. Specializes in blockchain connectivity, wallet interactions (RainbowKit, Reown, WalletConnect), wagmi/viem, and dApp development. Examples: <example>Context: User needs to connect wallet to React app user: 'How do I int"
agents,business-marketing,business-analyst,business-marketing/business-analyst.md,"""Use when analyzing business processes, gathering requirements from stakeholders, or identifying process improvement opportunities to drive operational efficiency and measurable business value. Specifically:\\n\\n<example>\\nContext: A company needs to understand their customer onboarding process to"
